Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
SH73S101;TURBINA-CALENTAMIENTO LINEA DE M.P AL COND.;3 CA;15;J;380V -3CA -15J;HA18;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
SH70S101;TURBINA- CALENTAMIENTO LINEA A.P AL COND;3 CA;15;K;380V -3CA -15K;HA18;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RN35S101;CICLO- ;3 CA;15;L;380V -3CA -15L;HA12;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RQ09S101;CALDERA- ENTRADA DE VAPOR AJENO A E.R.V.;3 CA;17;A;380V -3CA -17A;HA19;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RC10S101;CALDERA- ENTRADA DE VAPOR A E.R.V. N°1;3 CA;17;B;380V -3CA -17B;HA19;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RQ81S101;CALDERA- ENTRADA DE VAPOR A E.R.V  N°4;3 CA;17;C;380V -3CA -17C;HA19;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RQ50S101;CALDERA- ENTRADA DE VAPOR A E.R.V  N°2;3 CA;17;D;380V -3CA -17D;HA19;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RQ30S101;CALDERA- ENTRADA DE VAPOR A E.R.V  N°3;3 CA;17;E;380V -3CA -17E;HA19;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RQ25S101;CALDERA- VAPOR PARA CALENTADORES DE AIRE;3 CA;17;F;380V -3CA -17F;HA19;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RC10S102;CALDERA- VAPOR DE CALDERA PARA E.R.V  N°1,2 Y 4;3 CA;17;G;380V -3CA -17G;HA19;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RS42S101;CALDERA-AGUA PARA ATEMPERACION COLECTOR N°2;3 CA;17;H;380V -3CA -17H;HA19;;;ITM Antiguo - SEZ
RS42S102;CALDERA-AGUA PARA ATEMPERACION COLECTOR N°2;3 CA;17;J;380V -3CA -17J;HA19;;;ITM Antiguo - SEZ
RS40S101;CALDERA-AGUA PARA ATEMPERACION COLECTOR N°1;3 CA;17;K;380V -3CA -17K;HA19;;;ITM Antiguo - SEZ
RS40S102;CALDERA-AGUA PARA ATEMPERACION COLECTOR N°1;3 CA;17;L;380V -3CA -17L;HA19;;;ITM Antiguo - SEZ
RV50S101;CALDERA- DRENAJE DE TQ DE ALIMENTACION;3 CA;18;A;380V -3CA -18A;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM70S102;CALDERA-ENTRADA DE AGUA AL TQ DE ALIMENTACION;3 CA;18;B;380V -3CA -18B;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RH40S102;CALDERA-VAPOR DE CALEFACCION AL TQ ALIM.;3 CA;18;C;380V -3CA -18C;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RP02S101;CALDERA-CONDENSADO DESDE C.A.P AL TQ DE ALIM.;3 CA;18;D;380V -3CA -18D;HA16;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RU09S101;CALDERA-DRENAJE DEL TQ DE ALIM. AL COND.;3 CA;18;E;380V -3CA -18E;HA24;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RN37S101;;3 CA;18;F;380V -3CA -18F;HA12;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
UK01S101;;3 CA;18;H;380V -3CA -18H;;;;Termica Bipolar
NS10M101;CALDERA-VENTILADOR RECIR. DE HUMOS A;3 CA;20;A;380V -3CA -20A;HA12;Secc. - PH3 - 630A;Termica Unipolar C6;Rele Termico - Elektropristroj
3CA-3OCN;ACOPLE CON BARRA OCN (OCN01);3 CA;20;B;380V -3CA -20B;;Secc. - PH3 - 630A;;
NS10W001;CALDERA-CALENTAMIENTO DE MOTOR V.R.H A;3 CA;21;A;380V -3CA -21A;HA12;Diazed DII E27 - X2;Termica Unipolar C4;
NW20W001;CALDERA-CALENTAMIENTO DE ACEITE DE V.R.H A;3 CA;21;B;380V -3CA -21B;HA12;Diazed DII E27 - X2;Termica Unipolar C4;
NW20M102;CALDERA-VENTILADOR REFR.ACEITE DE V.R.H A;3 CA;21;C;380V -3CA -21C;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NW20M101;CALDERA-BOMBA LUBRICACION COJ. V.R.H A;3 CA;21;D;380V -3CA -21D;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NG12S101;CALDERA- BY-PASS DE HUMOS DE V.R.H A;3 CA;21;G;380V -3CA -21G;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NS10S103;CALDERA-SALIDA DE HUMOS DE V.R.H A;3 CA;21;H;380V -3CA -21H;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
NS10S102;CALDERA-SALIDA DE HUMOS DE V.R.H A;3 CA;21;J;380V -3CA -21J;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
